Terdeteksi: 326 pasal
Range: Pasal 1 - Pasal 326
Missing (0): []

=== DETAIL PASAL ===
Pasal    1 | 0 ayat | 0 huruf | bab: BAB I KETENTUAN UMUM
Pasal  313 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  314 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  315 | 3 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  316 | 3 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  317 | 0 ayat | 0 huruf | bab: BAB XX KETENTUAN PIDANA
Pasal  318 | 0 ayat | 0 huruf | bab: BAB XXI KETENTUAN PERALIHAN
Pasal  319 | 0 ayat | 0 huruf | bab: BAB XXI KETENTUAN PERALIHAN
Pasal  320 | 0 ayat | 0 huruf | bab: BAB XXII KETENTUAN PENUTUP
Pasal  321 | 0 ayat | 0 huruf | bab: BAB XXII KETENTUAN PENUTUP
Pasal  322 | 0 ayat | 0 huruf | bab: BAB XXII KETENTUAN PENUTUP
Pasal  323 | 0 ayat | 0 huruf | bab: BAB XXII KETENTUAN PENUTUP
Pasal  324 | 0 ayat | 0 huruf | bab: BAB XXII KETENTUAN PENUTUP
Pasal  325 | 0 ayat | 0 huruf | bab: BAB XXII KETENTUAN PENUTUP
Pasal  326 | 0 ayat | 0 huruf | bab: BAB XXII KETENTUAN PENUTUP
